direction,layer,anchor_x,anchor_y,top_left_x,top_left_y,width,height,bbox_x0,bbox_y0,bbox_x1,bbox_y1,missing_source
N,inner_top,240,372,208,338,64,69,208,338,272,407,False
N,haori,240,386,184,343,113,86,184,343,297,429,False
N,trousers,240,463,191,424,98,78,191,424,289,502,False
N,footwear,240,540,213,515,55,51,213,515,268,566,False
N,sash,240,437,195,414,90,46,195,414,285,460,False
N,scabbard,216,446,180,424,73,44,180,424,253,468,False
N,belt_knot,240,437,215,415,51,44,215,415,266,459,False
N,charm_tag,294,449,290,428,9,42,290,428,299,470,False
N,necklace,240,360,218,342,44,37,218,342,262,379,False
N,pouch,194,449,179,434,30,31,179,434,209,465,False
N,gourd,286,449,272,430,28,38,272,430,300,468,False
N,shoulder_tie,277,375,268,357,18,37,268,357,285,394,False
N,wrist_wraps,292,415,277,392,31,47,277,392,308,439,False
N,utility,210,455,199,431,22,48,199,431,221,479,False
NE,inner_top,240,373,213,339,54,69,213,339,267,408,False
NE,haori,240,387,204,344,73,86,204,344,277,430,False
NE,trousers,240,463,200,424,80,78,200,424,280,502,False
NE,footwear,240,540,218,514,45,52,218,514,263,566,False
NE,sash,240,438,199,413,82,50,199,413,281,463,False
NE,scabbard,210,446,167,422,87,48,167,422,254,470,False
NE,belt_knot,240,438,214,416,52,45,214,416,266,461,False
NE,charm_tag,290,449,285,428,11,42,285,428,296,470,False
NE,necklace,240,361,218,343,45,36,218,343,263,379,False
NE,pouch,198,449,183,433,30,32,183,434,213,465,False
NE,gourd,282,449,268,431,29,37,268,431,297,468,False
NE,shoulder_tie,273,375,266,356,15,38,266,357,281,394,False
NE,wrist_wraps,287,415,273,392,29,47,273,392,302,439,False
NE,utility,213,455,202,431,22,48,202,431,224,479,False
E,inner_top,240,365,217,331,47,68,217,331,264,399,False
E,haori,240,379,209,336,63,86,209,336,272,422,False
E,trousers,240,459,209,420,62,78,209,420,271,498,False
E,footwear,240,539,210,514,60,51,210,514,270,565,False
E,sash,240,433,211,407,58,52,212,407,269,459,False
E,scabbard,216,442,167,418,98,49,167,418,265,467,False
E,belt_knot,240,433,211,410,58,47,211,410,269,457,False
E,charm_tag,275,445,269,424,12,42,269,424,281,466,False
E,necklace,240,353,218,335,44,36,218,335,262,371,False
E,pouch,210,445,196,430,29,31,196,430,225,461,False
E,gourd,270,445,256,427,28,36,256,427,284,463,False
E,shoulder_tie,263,368,256,350,15,37,256,350,271,387,False
E,wrist_wraps,273,409,259,386,29,47,259,386,288,433,False
E,utility,221,450,209,427,24,46,209,427,233,473,False
SE,inner_top,240,365,209,331,63,69,209,331,272,400,False
SE,haori,240,379,191,336,99,86,191,336,290,422,False
SE,trousers,240,459,196,420,89,79,197,420,285,499,False
SE,footwear,240,539,211,513,59,52,211,513,270,565,False
SE,sash,240,433,201,408,79,51,201,408,280,459,False
SE,scabbard,212,442,163,419,98,46,163,419,261,465,False
SE,belt_knot,240,433,207,410,66,46,207,410,273,456,False
SE,charm_tag,295,445,290,424,10,42,290,424,300,466,False
SE,necklace,240,353,217,334,46,38,217,334,263,372,False
SE,pouch,193,445,178,430,31,31,178,430,209,461,False
SE,gourd,287,445,272,427,31,36,272,427,303,463,False
SE,shoulder_tie,277,368,270,350,14,37,270,350,284,387,False
SE,wrist_wraps,292,409,277,386,31,47,277,386,308,433,False
SE,utility,210,450,201,427,18,47,201,427,219,474,False
S,inner_top,240,364,205,330,70,69,205,330,275,399,False
S,haori,240,379,180,336,121,86,180,336,301,422,False
S,trousers,240,459,194,420,93,78,194,420,287,498,False
S,footwear,240,539,210,513,60,52,210,513,270,565,False
S,sash,240,432,190,406,100,53,190,406,290,459,False
S,scabbard,268,441,226,417,85,48,226,417,311,465,False
S,belt_knot,240,432,213,410,55,45,213,410,268,455,False
S,charm_tag,301,444,296,423,11,42,296,423,307,465,False
S,necklace,240,352,218,333,44,38,218,333,262,371,False
S,pouch,188,444,173,428,30,32,173,428,203,460,False
S,gourd,292,444,276,426,32,36,276,426,308,462,False
S,shoulder_tie,281,367,271,349,20,37,271,349,291,386,False
S,wrist_wraps,298,409,283,386,31,47,283,386,314,433,False
S,utility,206,450,198,428,16,44,198,428,214,472,False
SW,inner_top,240,365,210,330,61,70,210,330,271,400,False
SW,haori,240,379,192,337,97,85,192,337,289,422,False
SW,trousers,240,459,196,420,89,78,196,420,285,498,False
SW,footwear,240,539,212,513,57,52,212,513,269,565,False
SW,sash,240,433,200,410,81,46,200,410,281,456,False
SW,scabbard,,,,,,,,,,,True
SW,belt_knot,,,,,,,,,,,True
SW,charm_tag,185,445,180,424,10,42,180,424,190,466,False
SW,necklace,240,353,218,335,44,36,218,335,262,371,False
SW,pouch,287,445,272,430,30,31,272,430,302,461,False
SW,gourd,193,445,181,427,25,36,181,427,206,463,False
SW,shoulder_tie,,,,,,,,,,,True
SW,wrist_wraps,188,409,173,386,30,47,173,386,203,433,False
SW,utility,270,450,262,426,17,48,262,426,279,474,False
W,inner_top,240,372,214,338,52,69,214,338,266,406,False
W,haori,240,386,209,344,63,85,209,344,272,429,False
W,trousers,240,463,205,425,71,77,205,425,276,502,False
W,footwear,240,540,212,514,56,53,212,514,268,567,False
W,sash,240,437,214,412,52,51,214,412,266,463,False
W,scabbard,262,446,221,424,83,44,221,424,304,468,False
W,belt_knot,240,437,213,415,55,44,213,415,268,459,False
W,charm_tag,209,449,204,428,11,42,204,428,215,470,False
W,necklace,240,360,217,343,46,35,217,343,263,378,False
W,pouch,267,449,252,434,30,31,252,434,282,465,False
W,gourd,213,449,202,431,23,36,202,431,225,467,False
W,shoulder_tie,219,375,208,357,22,37,208,357,230,394,False
W,wrist_wraps,210,415,195,392,30,47,195,392,225,439,False
W,utility,257,455,247,431,20,48,247,431,267,479,False
NW,inner_top,240,373,213,339,55,69,213,339,268,408,False
NW,haori,240,387,202,344,77,86,202,344,279,430,False
NW,trousers,240,463,203,424,74,78,203,424,277,502,False
NW,footwear,240,540,211,514,58,53,211,514,269,567,False
NW,sash,240,438,202,414,76,48,202,414,278,462,False
NW,scabbard,263,446,222,422,83,48,222,422,305,470,False
NW,belt_knot,240,438,211,415,58,46,211,415,269,461,False
NW,charm_tag,194,449,188,428,12,42,188,428,200,470,False
NW,necklace,240,361,219,344,43,35,219,344,262,379,False
NW,pouch,279,449,265,434,29,31,265,434,294,465,False
NW,gourd,201,449,188,431,26,36,188,431,214,467,False
NW,shoulder_tie,209,375,200,357,18,37,200,357,218,394,False
NW,wrist_wraps,197,415,182,392,30,47,182,392,212,439,False
NW,utility,265,455,255,431,21,48,255,431,276,479,False
